id,category,price,rating,date,region
d001,Work,132.4,3.5,2026-05-05,Northlands
d002,Formal,169.9,3.5,2026-06-21,Southreach
d003,Casual,126.04,2.5,2026-05-21,Northlands
d004,Formal,161.28,2,2026-04-30,Southreach
d005,Casual,52.31,1,2026-04-07,Southreach
d006,Party,188.48,2,2026-06-06,Northlands
d007,Work,85.24,3,2026-04-11,Northlands
d008,Work,79.72,2.5,2026-06-10,Northlands
d009,Party,151.25,3.5,2026-06-13,Southreach
d010,Casual,55.12,1.5,2026-05-18,Southreach
d011,Summer,68.56,2.5,2026-05-03,Southreach
d012,Work,139.15,2,2026-06-24,Southreach
d013,Formal,128.57,3.5,2026-04-06,Midlands
d014,Formal,156.58,2.5,2026-06-18,Midlands
d015,Summer,35.74,3,2026-06-30,Northlands
d016,Summer,42.28,3,2026-04-17,Midlands
d017,Formal,152.98,1.5,2026-05-15,Midlands
d018,Work,134.4,3,2026-06-02,Coastal Strip
d019,Work,144.84,4,2026-05-09,Northlands
d020,Summer,136.86,3,2026-06-10,Southreach
d021,Work,157.5,3,2026-04-26,Coastal Strip
d022,Party,179.35,3.5,2026-05-23,Southreach
d023,Formal,139.9,3.5,2026-05-30,Midlands
d024,Casual,36.43,3,2026-05-04,Midlands
d025,Work,146.71,2,2026-04-07,Southreach
d026,Summer,128.09,1.5,2026-06-29,Southreach
d027,Formal,190.32,4,2026-04-23,Midlands
d028,Work,143.94,2.5,2026-06-23,Midlands
d029,Summer,93.42,2,2026-06-03,Northlands
d030,Summer,58.84,3,2026-04-12,Northlands
d031,Formal,198.98,4,2026-05-25,Northlands
d032,Casual,33.29,2.5,2026-06-24,Northlands
d033,Summer,130.48,1.5,2026-05-16,Northlands
d034,Work,77.51,3.5,2026-04-13,Northlands
d035,Casual,121.44,3.5,2026-04-06,Northlands
d036,Summer,68.42,3,2026-06-20,Coastal Strip
d037,Work,124.13,3,2026-04-13,Southreach
d038,Party,201.14,3,2026-05-30,Southreach
d039,Party,96.02,2,2026-04-18,Midlands
d040,Summer,68.97,1,2026-05-25,Midlands
d041,Casual,39.2,1.5,2026-05-01,Coastal Strip
d042,Work,149.99,4,2026-06-01,Coastal Strip
d043,Work,103.46,2,2026-04-13,Northlands
d044,Summer,39.39,2,2026-04-12,Midlands
d045,Work,158.65,1.5,2026-05-30,Northlands
