id,category,price,rating
d001,Work,132.4,3.5
d002,Formal,169.9,3.5
d003,Casual,126.04,2.5
d004,Formal,161.28,2
d005,Casual,52.31,1
d006,Party,188.48,2
d007,Work,85.24,3
d008,Work,79.72,2.5
d009,Party,151.25,3.5
d010,Casual,55.12,1.5
d011,Summer,68.56,2.5
d012,Work,139.15,2
d013,Formal,128.57,3.5
d014,Formal,156.58,2.5
d015,Summer,35.74,3
d016,Summer,42.28,3
d017,Formal,152.98,1.5
d018,Work,134.4,3
d019,Work,144.84,4
d020,Summer,136.86,3
d021,Work,157.5,3
d022,Party,179.35,3.5
d023,Formal,139.9,3.5
d024,Casual,36.43,3
d025,Work,146.71,2
d026,Summer,128.09,1.5
d027,Formal,190.32,4
d028,Work,143.94,2.5
d029,Summer,93.42,2
d030,Summer,58.84,3
d031,Formal,198.98,4
d032,Casual,33.29,2.5
d033,Summer,130.48,1.5
d034,Work,77.51,3.5
d035,Casual,121.44,3.5
d036,Summer,68.42,3
d037,Work,124.13,3
d038,Party,201.14,3
d039,Party,96.02,2
d040,Summer,68.97,1
d041,Casual,39.2,1.5
d042,Work,149.99,4
d043,Work,103.46,2
d044,Summer,39.39,2
d045,Work,158.65,1.5
d046,Summer,139.93,3
d047,Summer,86.96,1.5
d048,Party,106.16,3
d049,Work,168.53,3.5
d050,Party,98.73,3.5
d051,Casual,84.19,3
d052,Casual,96.35,2
d053,Work,166.58,2
d054,Summer,141.48,3.5
d055,Party,170.73,2
d056,Casual,29.48,3
d057,Summer,110.54,1.5
d058,Casual,133.3,2
d059,Party,133.45,2
d060,Party,114.08,2
d061,Formal,147.59,3
d062,Casual,70.79,1.5
d063,Casual,117.99,4
d064,Formal,110.58,1.5
d065,Casual,115.63,1.5
d066,Party,105.12,2
d067,Party,185.16,3.5
d068,Work,120.42,2.5
d069,Summer,61.68,2.5
d070,Work,72.01,2
d071,Casual,86.41,2.5
d072,Casual,108.95,3
d073,Summer,59.29,3.5
d074,Summer,112.13,2
